Last Time Active	Usage Type	Time Active in Msecs	Time Active in Secs	Last Time Service Used	Last Time Visible	Total Time Visible	App Launch Count	Package	Types	Class	Source
2023-09-20 23:51:00	packages	0	0				1	com.android.chrome			yearly
2023-09-20 23:51:00	packages	8203	8				2	com.google.android.apps.nexuslauncher			yearly
2023-09-20 23:51:00	packages	0	0				1	com.android.chrome			weekly
2023-09-20 23:51:00	packages	8203	8				2	com.google.android.apps.nexuslauncher			weekly
2023-09-20 23:51:00	packages	0	0				1	com.android.chrome			monthly
2023-09-20 23:51:00	packages	8203	8				2	com.google.android.apps.nexuslauncher			monthly
2023-09-20 23:51:00	packages	0	0				1	com.android.chrome			daily
2023-09-20 23:51:00	packages	8203	8				2	com.google.android.apps.nexuslauncher			daily
2023-09-20 23:51:00	event-log		0					com.google.android.apps.nexuslauncher	ACTIVITY_PAUSED	com.google.android.apps.nexuslauncher.NexusLauncherActivity	daily
2023-09-20 23:51:00	event-log		0					com.android.chrome	ACTIVITY_RESUMED	org.chromium.chrome.browser.ChromeTabbedActivity	daily
2023-09-20 23:50:55	packages	21598	21				1	com.google.android.apps.maps			yearly
2023-09-20 23:50:55	packages	21598	21				1	com.google.android.apps.maps			weekly
2023-09-20 23:50:55	packages	21598	21				1	com.google.android.apps.maps			monthly
2023-09-20 23:50:55	packages	21598	21				1	com.google.android.apps.maps			daily
2023-09-20 23:50:55	event-log		0					com.google.android.apps.maps	ACTIVITY_PAUSED	com.google.android.maps.MapsActivity	daily
2023-09-20 23:50:55	event-log		0					com.google.android.apps.nexuslauncher	ACTIVITY_RESUMED	com.google.android.apps.nexuslauncher.NexusLauncherActivity	daily
2023-09-20 23:50:34	event-log		0					com.google.android.apps.maps	ACTIVITY_RESUMED	com.google.android.maps.MapsActivity	daily
2023-09-20 23:50:33	event-log		0					com.google.android.apps.nexuslauncher	ACTIVITY_PAUSED	com.google.android.apps.nexuslauncher.NexusLauncherActivity	daily
2023-09-20 23:50:30	packages	1035	1				1	com.discord			yearly
2023-09-20 23:50:30	packages	1035	1				1	com.discord			weekly
2023-09-20 23:50:30	packages	1035	1				1	com.discord			monthly
2023-09-20 23:50:30	packages	1035	1				1	com.discord			daily
2023-09-20 23:50:30	event-log		0					com.discord	ACTIVITY_PAUSED	com.discord.main.MainActivity	daily
2023-09-20 23:50:30	event-log		0					com.google.android.apps.nexuslauncher	ACTIVITY_RESUMED	com.google.android.apps.nexuslauncher.NexusLauncherActivity	daily
2023-09-20 23:50:29	event-log		0					com.google.android.apps.nexuslauncher	ACTIVITY_PAUSED	com.google.android.apps.nexuslauncher.NexusLauncherActivity	daily
2023-09-20 23:50:29	event-log		0					com.discord	ACTIVITY_RESUMED	com.discord.main.MainActivity	daily
2023-09-20 23:50:16	packages	0	0					com.google.android.googlequicksearchbox			yearly
2023-09-20 23:50:16	packages	0	0					com.android.providers.calendar			yearly
2023-09-20 23:50:16	packages	0	0					com.google.android.gms			yearly
2023-09-20 23:50:16	packages	0	0					com.google.android.gsf			yearly
2023-09-20 23:50:16	packages	0	0					com.google.android.googlequicksearchbox			weekly
2023-09-20 23:50:16	packages	0	0					com.android.providers.calendar			weekly
